nohup: ignoring input
Live tension collector started. Collecting every 15 minutes...
[2026-04-20 03:02:27] Saved: tension=3.58, articles=179, cat=Military
[2026-04-20 03:17:28] Saved: tension=3.04, articles=152, cat=Military
[2026-04-20 03:32:28] Saved: tension=3.72, articles=186, cat=Military
[2026-04-20 03:47:28] Saved: tension=3.36, articles=168, cat=Military
[2026-04-20 04:02:29] Saved: tension=2.62, articles=131, cat=Military
[2026-04-20 04:17:29] Saved: tension=3.02, articles=151, cat=Military
[2026-04-20 04:32:30] Saved: tension=3.2, articles=160, cat=Military
[2026-04-20 04:47:30] Saved: tension=2.86, articles=143, cat=Military
[2026-04-20 05:02:30] Saved: tension=3.64, articles=182, cat=Military
[2026-04-20 05:17:31] Saved: tension=3.22, articles=161, cat=Military
[2026-04-20 05:32:31] Saved: tension=3.12, articles=156, cat=Military
[2026-04-20 05:47:31] Saved: tension=4.18, articles=209, cat=Military
[2026-04-20 06:02:32] Saved: tension=3.3, articles=165, cat=Military
[2026-04-20 06:17:32] Saved: tension=4.2, articles=210, cat=Military
[2026-04-20 06:32:33] Saved: tension=3.3, articles=165, cat=Military
[2026-04-20 06:47:33] Saved: tension=4.94, articles=247, cat=Military
[2026-04-20 07:02:33] Saved: tension=4.6, articles=230, cat=Military
[2026-04-20 07:17:34] Saved: tension=3.88, articles=194, cat=Military
[2026-04-20 07:32:34] Saved: tension=6.78, articles=339, cat=Military
[2026-04-20 07:47:35] Saved: tension=3.48, articles=174, cat=Military
[2026-04-20 08:02:35] Saved: tension=3.74, articles=187, cat=Military
[2026-04-20 08:17:36] Saved: tension=4.82, articles=241, cat=Military
[2026-04-20 08:32:36] Saved: tension=4.14, articles=207, cat=Military
[2026-04-20 08:47:37] Saved: tension=4.16, articles=208, cat=Military
[2026-04-20 09:02:37] Saved: tension=4.0, articles=200, cat=Military
[2026-04-20 09:17:38] Saved: tension=4.4, articles=220, cat=Military
[2026-04-20 09:32:38] Saved: tension=5.46, articles=273, cat=Military
Error fetching GDELT: 'utf-8' codec can't decode byte 0xe1 in position 13107: invalid continuation byte
[2026-04-20 10:02:39] Saved: tension=4.7, articles=235, cat=Military
[2026-04-20 10:17:40] Saved: tension=4.18, articles=209, cat=Military
[2026-04-20 10:32:40] Saved: tension=5.76, articles=288, cat=Military
[2026-04-20 10:47:41] Saved: tension=5.36, articles=268, cat=Military
[2026-04-20 11:02:41] Saved: tension=6.3, articles=315, cat=Military
[2026-04-20 11:17:42] Saved: tension=5.72, articles=286, cat=Military
[2026-04-20 11:32:42] Saved: tension=5.9, articles=295, cat=Military
[2026-04-20 11:47:43] Saved: tension=6.48, articles=324, cat=Military
[2026-04-20 12:02:43] Saved: tension=6.32, articles=316, cat=Military
[2026-04-20 12:17:44] Saved: tension=5.56, articles=278, cat=Military
[2026-04-20 12:32:44] Saved: tension=6.7, articles=335, cat=Military
[2026-04-20 12:47:45] Saved: tension=6.58, articles=329, cat=Military
[2026-04-20 13:02:45] Saved: tension=7.0, articles=350, cat=Military
[2026-04-20 13:17:46] Saved: tension=8.16, articles=408, cat=Military
[2026-04-20 13:32:47] Saved: tension=7.6, articles=380, cat=Military
[2026-04-20 13:47:47] Saved: tension=6.94, articles=347, cat=Military
[2026-04-20 14:02:48] Saved: tension=7.44, articles=372, cat=Military
Error fetching GDELT: 'utf-8' codec can't decode byte 0xe1 in position 137683: invalid continuation byte
[2026-04-20 14:32:49] Saved: tension=6.74, articles=337, cat=Military
[2026-04-20 14:47:49] Saved: tension=6.66, articles=333, cat=Military
[2026-04-20 15:02:50] Saved: tension=8.2, articles=410, cat=Military
[2026-04-20 15:17:50] Saved: tension=7.18, articles=359, cat=Military
[2026-04-20 15:32:51] Saved: tension=8.88, articles=444, cat=Military
[2026-04-20 15:47:52] Saved: tension=7.24, articles=362, cat=Military
[2026-04-20 16:02:52] Saved: tension=9.24, articles=462, cat=Military
[2026-04-20 16:17:53] Saved: tension=7.22, articles=361, cat=Military
[2026-04-20 16:32:54] Saved: tension=7.64, articles=382, cat=Military
[2026-04-20 16:47:54] Saved: tension=8.86, articles=443, cat=Military
[2026-04-20 17:02:55] Saved: tension=7.28, articles=364, cat=Military
[2026-04-20 17:17:56] Saved: tension=7.46, articles=373, cat=Military
[2026-04-20 17:32:56] Saved: tension=9.18, articles=459, cat=Military
[2026-04-20 17:47:57] Saved: tension=7.78, articles=389, cat=Military
[2026-04-20 18:02:58] Saved: tension=9.1, articles=455, cat=Military
[2026-04-20 18:17:59] Saved: tension=7.18, articles=359, cat=Military
[2026-04-20 18:32:59] Saved: tension=8.82, articles=441, cat=Military
[2026-04-20 18:48:00] Saved: tension=6.9, articles=345, cat=Military
[2026-04-20 19:03:00] Saved: tension=9.18, articles=459, cat=Military
[2026-04-20 19:18:01] Saved: tension=7.26, articles=363, cat=Military
[2026-04-20 19:33:02] Saved: tension=6.96, articles=348, cat=Military
[2026-04-20 19:48:02] Saved: tension=6.88, articles=344, cat=Military
[2026-04-20 20:03:03] Saved: tension=7.32, articles=366, cat=Military
[2026-04-20 20:18:04] Saved: tension=8.52, articles=426, cat=Military
[2026-04-20 20:33:04] Saved: tension=7.8, articles=390, cat=Military
